,Particle_num,Iteration_num,Smt_freqval,else_smt,x,y
0,25,1,162,1588,940.6,527.98
1,25,10,162,1588,941.23,550.86
2,25,2,162,1588,940.6,527.98
3,25,3,162,1588,942.12,526.15
4,25,4,162,1588,941.3,530.27
5,25,5,162,1588,941.3,530.27
6,25,6,162,1588,940.72,519.57
7,25,7,162,1588,941.78,527.28
8,25,8,162,1588,941.3,540.99
9,25,9,162,1588,941.23,550.86
10,25,1,162,1786,905.85,532.53
11,25,10,162,1786,904.13,530.08
12,25,2,162,1786,905.17,529.74
13,25,3,162,1786,905.17,529.74
14,25,4,162,1786,903.95,535.22
15,25,5,162,1786,904.96,529.54
16,25,6,162,1786,905.11,530.78
17,25,7,162,1786,905.11,530.78
18,25,8,162,1786,903.83,529.51
19,25,9,162,1786,905.58,529.45
20,25,1,162,1984,887.54,521.7
21,25,10,162,1984,885.67,527.33
22,25,2,162,1984,887.54,521.7
23,25,3,162,1984,887.14,529.26
24,25,4,162,1984,885.73,519.01
25,25,5,162,1984,886.59,522.79
26,25,6,162,1984,886.62,526.37
27,25,7,162,1984,886.62,526.37
28,25,8,162,1984,885.51,527.16
29,25,9,162,1984,885.67,527.33
30,25,1,162,2080,866.99,532.59
31,25,10,162,2080,867.04,529.83
32,25,2,162,2080,866.99,532.59
33,25,3,162,2080,867.93,526.53
34,25,4,162,2080,868.38,528.48
35,25,5,162,2080,868.38,528.48
36,25,6,162,2080,868.37,528.37
37,25,7,162,2080,868.16,529.09
38,25,8,162,2080,868.27,530.11
39,25,9,162,2080,867.04,529.83
40,25,1,162,2180,856.9,530.11
41,25,10,162,2180,857.0,530.13
42,25,2,162,2180,858.52,529.15
43,25,3,162,2180,856.94,530.11
44,25,4,162,2180,856.94,530.11
45,25,5,162,2180,857.05,529.85
46,25,6,162,2180,858.31,529.53
47,25,7,162,2180,858.4,529.32
48,25,8,162,2180,858.4,529.32
49,25,9,162,2180,858.4,529.52
50,25,1,162,2280,846.89,530.36
51,25,10,162,2280,845.81,529.82
52,25,2,162,2280,846.89,530.36
53,25,3,162,2280,847.69,532.39
54,25,4,162,2280,846.35,530.02
55,25,5,162,2280,846.29,530.73
56,25,6,162,2280,846.07,529.9
57,25,7,162,2280,846.07,529.9
58,25,8,162,2280,846.86,530.02
59,25,9,162,2280,849.33,526.48
60,25,1,162,2380,835.49,530.79
61,25,10,162,2380,836.05,530.81
62,25,2,162,2380,836.37,530.15
63,25,3,162,2380,835.44,530.6
64,25,4,162,2380,835.44,530.6
65,25,5,162,2380,836.03,530.19
66,25,6,162,2380,836.62,529.77
67,25,7,162,2380,835.41,530.88
68,25,8,162,2380,835.86,530.49
69,25,9,162,2380,835.86,530.49
70,25,1,162,2480,831.57,529.71
71,25,10,162,2480,828.49,529.71
72,25,2,162,2480,828.67,532.2
73,25,3,162,2480,828.88,532.18
74,25,4,162,2480,829.65,531.31
75,25,5,162,2480,828.19,532.63
76,25,6,162,2480,828.34,530.31
77,25,7,162,2480,828.34,530.31
78,25,8,162,2480,827.59,530.7
79,25,9,162,2480,827.55,530.98
80,25,1,162,2580,819.14,529.69
81,25,2,162,2580,819.11,529.7
82,25,3,162,2580,818.34,530.47
83,47,10,185,2870,948.51,519.2
84,47,8,185,2870,948.17,521.13
85,47,9,185,2870,947.14,525.15
